repo_name,commit_date_range,date_difference
EthereumD/blockchain-sql,2016-12-08 ~ 2016-12-08,0
gelvazio_camargo/global-financing-blockchain,2019-10-09 ~ 2018-12-07,306
capblockchain/Blockchain,2017-09-12 ~ 2017-01-30,225
SGamot/BlockChain,2018-07-20 ~ 2018-07-20,0
albina-euregio/albina-website,2020-04-14 ~ 2019-12-16,120
pimogames/hello-covid,2020-04-10 ~ 2020-03-29,12
Remmina/Remmina,2020-04-20 ~ 2020-02-17,63
krakorj/apify-covid-serbia,2020-03-24 ~ 2020-03-22,2
jamietanna/jvt.me,2020-04-20 ~ 2020-04-11,9
addianto/icas-pgs-mobile,2017-10-30 ~ 2017-07-25,97
flectra-hq/flectra,2020-03-23 ~ 2018-08-08,593
eneiluj/cospend-nc,2020-04-16 ~ 2020-01-01,106
tildes/tildes,2020-04-14 ~ 2019-07-31,258
atelier-cartographique/wood-site,2020-03-27 ~ 2019-01-23,429
ChESch/mobile-app,2016-08-29 ~ 2014-09-22,707
minds/minds,2020-04-17 ~ 2016-05-25,1423
h2o-home-security/mobile-app,2019-06-06 ~ 2019-06-06,0
5irc-project/mobile-app,2019-01-24 ~ 2018-12-19,36
koroed/community-mobile-app,2017-11-13 ~ 2017-11-03,10
cpbaumann/jquery-plugin-responsive-pagination-for-bootstrap-4,2019-12-04 ~ 2018-09-11,449
neenjaw/fcc-responsive-web-project-01,2018-07-03 ~ 2018-07-03,0
deliberatespeed/Responsive-Web-Design,2018-04-04 ~ 2018-01-30,64
salihhdemirr/adding-responsive-features-cb-gh-000,2018-04-12 ~ 2014-11-01,1258
satijasagar14/news-responsive-sagar,2019-03-09 ~ 2019-03-08,1
m0stafa72/sass-responsive,2019-10-06 ~ 2019-10-06,0
KaesDingeling/Hybrid-Menu,2020-04-13 ~ 2017-06-22,1026
kavikamal/responsive-design-assessment,2018-10-26 ~ 2018-10-25,1
mayan-edms/cabinets,2017-03-09 ~ 2017-01-25,43
exectek/librenms,2015-09-17 ~ 2015-08-25,23
tomasjuran/artificial-intelligence-unlu,2019-04-02 ~ 2019-03-30,3
juleste/workshop-of-artificial-intelligence,2019-03-28 ~ 2019-03-28,0
minymina/Chess-Artificial-Intelligence,2018-08-21 ~ 2016-11-30,629
tonarec/artificial-intelligence,2019-10-18 ~ 2019-09-26,22
ahmetozsari/artificial-intelligence,2019-02-20 ~ 2019-02-20,0
kulukami/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,2018-04-09 ~ 2017-10-02,189
atulmgupta/tic-tac-toe-with-artificial-intelligence,2016-03-08 ~ 2016-03-08,0
timofonic/bkkkk,2017-04-29 ~ 2016-08-08,264
shosca/Artificial-Intelligence-and-Machine-Learning,2013-01-24 ~ 2011-10-17,465
aabedraba/artificial-intelligence-subject,2018-05-25 ~ 2018-02-10,104
lukicdarkoo/computer-vision,2019-07-30 ~ 2019-03-08,144
saritekin/show-facebook-computer-vision-tags,2017-02-23 ~ 2016-12-30,55
keynekassapa13/computer-vision-ex,2018-12-03 ~ 2018-12-03,0
luispazosouton/computer-vision,2019-05-29 ~ 2019-05-29,0
coursverse/ncv,2019-11-25 ~ 2019-04-24,215
vanhuyendo/Computer-vision-Stanford-course,2018-10-02 ~ 2018-07-03,91
tum-vision/lie-spline-experiments,2020-02-01 ~ 2019-11-15,78
xuwei1119/Hands-On-Computer-Vision-with-TensorFlow-2,2019-11-01 ~ 2018-10-01,396
computer-vision/maptk,2015-08-14 ~ 2015-04-20,116
computer-vision/MasteringOpenCV_code,2013-03-06 ~ 2012-12-08,88
shacktac-public/general,2016-09-09 ~ 2016-08-30,10
stellaris/game,2020-03-17 ~ 2018-06-28,628
crespum/oscw18-edge-ai,2018-09-20 ~ 2018-07-11,71
vgg/vgg_bibtex,2020-04-10 ~ 2019-07-10,275
Floydimus/PM,2020-03-28 ~ 2019-09-15,195
timofonic/random-books-list,2018-05-16 ~ 2016-12-30,502
libvirt/libvirt,2020-04-20 ~ 2020-03-24,27
minds/docs,2020-04-15 ~ 2019-07-04,286
langurmonkey/gaiasky,2020-04-16 ~ 2019-10-17,182
SaberMod/pa-android-frameworks-base,2015-08-11 ~ 2015-04-07,126
materials-modeling/icet,2020-04-15 ~ 2019-05-15,336
EladLeev/www-gitlab-com,2020-01-25 ~ 2020-01-23,2
jamieoglindsey0/jquery-documentsize,2017-02-04 ~ 2015-02-09,726
trinitycore/TrinityCore_434,2019-10-06 ~ 2019-06-07,121
iembry/iemisctext,2019-01-08 ~ 2016-08-07,884
jtrygva/trollegle,2019-12-13 ~ 2016-08-05,1225
kentsay/opengrok,2018-01-22 ~ 2017-11-07,76
glescki/deep-learning,2018-03-06 ~ 2017-10-27,130
Wahal/deep-learning,2019-09-14 ~ 2018-01-25,597
monochromata-de/de.monochromata.eyetracking,2020-04-04 ~ 2017-07-20,989
hashware/deep-learning-with-python-notebooks,2017-11-19 ~ 2017-09-05,75
yencarnacion/deep-learning-with-python-notebooks,2017-11-19 ~ 2017-09-05,75
kovean1994/Deep-Learning-Papers-Reading-Roadmap,2017-04-17 ~ 2016-10-14,185
rado97/final-year-project,2019-05-01 ~ 2019-02-05,85
goern/deep-learning-language-identification-using-keras-tensorflow,2017-10-27 ~ 2017-10-27,0
dvanderleij/cs4180---deep-learning-project,2019-05-20 ~ 2019-03-26,55
CCATIK/Deep-Learning-Lab_Team-6,2018-06-11 ~ 2018-04-16,56
postgres-ai/database-lab,2020-04-14 ~ 2019-10-23,174
leoisl/dbgwas,2019-10-02 ~ 2017-11-09,692
tikiwiki/tikiwiki-ci-databases,2020-02-27 ~ 2018-03-11,718
tum-msv/hynet-databases,2019-08-19 ~ 2018-10-19,304
rki_bioinformatics/database-updater,2018-03-07 ~ 2018-03-07,0
ChrisLangley/docker-postgresql-multiple-databases,2017-10-27 ~ 2017-07-30,89
goodvibes/goodvibes,2020-04-19 ~ 2018-10-28,539
barrel-db/barrel,2019-07-05 ~ 2017-03-24,833
hsbxl/site,2020-04-19 ~ 2019-02-02,442
CySiVuSConsortium/cyber-security-reference-architecture,2020-01-14 ~ 2019-05-28,231
Gerkis/it-sec-catalog,2020-03-27 ~ 2016-04-09,1448
nalin1997/_docs,2017-02-09 ~ 2016-08-11,182
jpsuldo1/awesome-incident-response,2017-06-28 ~ 2015-11-11,595
openconnect/openconnect,2020-04-16 ~ 2019-01-16,456
MangaD/sirs-project,2018-12-20 ~ 2018-12-01,19
iotlink/iotlink,2020-04-12 ~ 2019-06-02,315
meltano/specifications,2018-12-19 ~ 2016-10-31,779
veloren/game,2019-04-11 ~ 2018-08-15,239
Codeaurora/platform_vendor_qcom-opensource_wlan_qcacld-2.0,2016-11-02 ~ 2016-08-05,89
gitlab-data/analytics,2020-04-20 ~ 2020-04-06,14
EladLeev/omnibus-gitlab,2018-12-11 ~ 2018-10-22,50
go-concurrency-patterns/go-event-emitter,2019-07-09 ~ 2019-06-26,13
yorickpeterse/load-testing,2017-05-30 ~ 2017-03-08,83
Codeaurora/platform_hardware_qcom_camera,2015-11-07 ~ 2015-04-30,191
