repo_name,commit_date_range,date_difference
hyperledger/fabric,2020-04-20 ~ 2020-02-03,77
dipakkr/A-to-Z-Resources-for-Students,2020-03-28 ~ 2018-10-29,516
trufflesuite/truffle,2020-04-17 ~ 2020-02-11,66
ethereum/solidity,2020-04-20 ~ 2020-02-11,69
ethereum/mist,2019-03-27 ~ 2018-05-23,308
ethereumbook/ethereumbook,2020-04-08 ~ 2018-10-31,525
openethereum/openethereum,2020-04-20 ~ 2019-08-08,256
CSSEGISandData/COVID-19,2020-04-20 ~ 2020-03-07,44
2019ncovmemory/nCovMemory,2020-04-05 ~ 2020-02-07,58
tokyo-metropolitan-gov/covid19,2020-04-20 ~ 2020-04-10,10
nytimes/covid-19-data,2020-04-20 ~ 2020-03-27,24
pcm-dpc/COVID-19,2020-04-20 ~ 2020-03-07,44
covid19india/covid19india-react,2020-04-20 ~ 2020-03-25,26
Pratitya/COVID-19-timeline,2020-04-20 ~ 2020-02-21,59
ieee8023/covid-chestxray-dataset,2020-04-19 ~ 2020-03-15,35
NovelCOVID/API,2020-04-20 ~ 2020-04-05,15
BlankerL/DXY-COVID-19-Crawler,2020-04-10 ~ 2020-01-21,80
flutter/flutter,2020-04-20 ~ 2020-03-30,21
fastlane/fastlane,2020-04-20 ~ 2019-07-11,284
NativeScript/NativeScript,2020-04-20 ~ 2019-08-19,245
framework7io/framework7,2020-04-20 ~ 2019-12-06,136
twbs/ratchet,2016-03-21 ~ 2014-03-19,733
matomo-org/matomo,2020-04-20 ~ 2020-01-02,109
expo/expo,2020-04-17 ~ 2020-03-19,29
Mango/slideout,2018-03-01 ~ 2015-02-02,1123
OnsenUI/OnsenUI,2020-03-31 ~ 2018-02-07,783
twbs/bootstrap,2020-04-20 ~ 2020-02-03,77
foundation/foundation-sites,2020-04-12 ~ 2019-03-07,402
pure-css/pure,2019-07-15 ~ 2013-09-03,2141
dhg/Skeleton,2014-12-29 ~ 2011-04-30,1339
designmodo/Flat-UI,2019-02-13 ~ 2013-03-03,2173
frappe/charts,2020-04-07 ~ 2017-11-01,888
aFarkas/lazysizes,2020-04-15 ~ 2016-01-15,1552
gionkunz/chartist-js,2019-11-01 ~ 2015-05-09,1637
sweetalert2/sweetalert2,2020-04-19 ~ 2019-08-31,232
dimsemenov/Magnific-Popup,2017-06-05 ~ 2013-04-10,1517
olistic/warriorjs,2018-12-03 ~ 2015-05-17,1296
owainlewis/awesome-artificial-intelligence,2020-03-12 ~ 2015-01-27,1871
norvig/paip-lisp,2020-01-12 ~ 2018-03-01,682
aimacode/aima-python,2020-03-18 ~ 2017-08-17,944
MycroftAI/mycroft-core,2020-04-20 ~ 2019-12-05,137
okfn-brasil/serenata-de-amor,2020-03-13 ~ 2018-04-19,694
ryanb/ruby-warrior,2012-04-28 ~ 2008-07-04,1394
microsoft/malmo,2019-09-06 ~ 2018-05-14,480
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,2020-01-17 ~ 2018-11-29,414
fossasia/susi_server,2020-04-08 ~ 2018-12-02,493
opencv/opencv,2020-04-20 ~ 2020-02-04,76
jbhuang0604/awesome-computer-vision,2019-03-24 ~ 2015-01-16,1528
kjw0612/awesome-deep-vision,2017-03-13 ~ 2015-05-18,665
eduardolundgren/tracking.js,2018-05-17 ~ 2012-11-08,2016
kmario23/deep-learning-drizzle,2020-04-04 ~ 2018-11-26,495
liuliu/ccv,2020-04-19 ~ 2019-01-16,459
pytorch/vision,2020-04-16 ~ 2019-09-06,223
OlafenwaMoses/ImageAI,2020-01-14 ~ 2018-03-19,666
accord-net/framework,2020-01-17 ~ 2017-10-25,814
amusi/daily-paper-computer-vision,2020-03-01 ~ 2018-05-15,656
botupdate/botupdate,2020-04-13 ~ 2019-07-04,284
pirahansiah/opencv,2018-01-05 ~ 2016-04-10,635
iotJumpway/Oculus-Examples,2018-09-06 ~ 2018-07-25,43
michaelnation26/hand_lights,2019-01-09 ~ 2018-12-20,20
phanisaikamal/Smart-Augmented-Glasses-Hackthon-4.0-,2018-03-20 ~ 2018-03-20,0
SolraBizna/ars-emu,2020-04-01 ~ 2017-04-18,1079
kvzivn/blog,2015-10-18 ~ 2015-07-15,95
dirtybourbon/hypnomalneuralnet,2019-05-01 ~ 2019-04-12,19
anoushkrit/Knowledge,2019-12-08 ~ 2019-06-12,179
Aparnaakk/festivAI,2017-10-17 ~ 2017-10-03,14
sonsongithub/CoreAR,2012-02-16 ~ 2011-04-05,317
Eyescale/Equalizer,2019-11-14 ~ 2015-07-26,1572
pearsonkyle/Data-VisualizAR,2020-04-15 ~ 2019-07-20,270
IBM/ar-resume-with-visual-recognition,2019-08-01 ~ 2018-03-14,505
microsoft/OpenXR-MixedReality,2020-04-16 ~ 2019-04-19,363
microsoft/VisualProfiler-Unity,2019-04-03 ~ 2018-07-19,258
oussamabonnor1/musicVisualizerAR,2020-01-03 ~ 2019-12-19,15
hecomi/QwertyVR,2016-03-01 ~ 2016-02-20,10
EmergingExperiencesMVP/MixedRealityProjectTemplates,2019-08-08 ~ 2017-03-13,878
scutan90/DeepLearning-500-questions,2020-04-11 ~ 2019-04-05,372
BVLC/caffe,2020-02-13 ~ 2016-12-02,1168
exacity/deeplearningbook-chinese,2019-11-10 ~ 2017-02-07,1006
floodsung/Deep-Learning-Papers-Reading-Roadmap,2018-03-17 ~ 2016-10-14,519
terryum/awesome-deep-learning-papers,2018-10-19 ~ 2016-06-03,868
apache/incubator-mxnet,2020-04-20 ~ 2020-01-28,83
donnemartin/data-science-ipython-notebooks,2019-02-11 ~ 2015-04-04,1409
fastai/fastai,2020-04-20 ~ 2019-06-25,300
antirez/redis,2020-04-20 ~ 2020-02-07,73
prometheus/prometheus,2020-04-20 ~ 2020-01-22,89
chinese-poetry/chinese-poetry,2020-04-13 ~ 2018-03-01,774
rethinkdb/rethinkdb,2020-03-02 ~ 2016-09-08,1271
pingcap/tidb,2020-04-20 ~ 2020-03-17,34
typeorm/typeorm,2020-04-13 ~ 2019-05-12,337
cockroachdb/cockroach,2020-04-20 ~ 2020-04-06,14
mongodb/mongo,2020-04-20 ~ 2020-03-11,40
Seldaek/monolog,2020-02-19 ~ 2018-11-01,475
prisma/prisma1,2020-04-01 ~ 2019-08-05,240
Developer-Y/cs-video-courses,2020-04-20 ~ 2016-10-21,1277
fulldecent/system-bus-radio,2020-01-24 ~ 2016-02-29,1425
blaCCkHatHacEEkr/PENTESTING-BIBLE,2020-03-01 ~ 2019-06-28,247
zero-equals-false/awesome-programming-books,2019-04-23 ~ 2019-04-10,13
cryptocat/cryptocat,2018-01-16 ~ 2016-04-24,632
meitar/awesome-cybersecurity-blueteam,2020-04-19 ~ 2018-07-23,636
davidprowe/BadBlood,2020-03-05 ~ 2020-01-16,49
